randomtestadventurer.c:
Testing Adventurer...
Seed: 895163774, test failed, incorrect number of cards in hand.
Seed: 900076921, test failed, incorrect number of cards in hand.
Seed: 1112870843, test failed, incorrect number of cards in hand.
Seed: 194340776, test failed, incorrect number of cards in hand.
Seed: 1215879, test failed, incorrect number of cards in hand.
Seed: 1109368681, test failed, incorrect number of cards in hand.
Seed: 283162140, test failed, incorrect number of cards in hand.
Seed: 1065663562, test failed, incorrect number of cards in hand.
Seed: 2059268915, test failed, incorrect number of cards in hand.
Seed: 1573825426, test failed, incorrect number of cards in hand.
Seed: 970062423, test failed, incorrect number of cards in hand.
Seed: 1216979060, test failed, incorrect number of cards in hand.
Seed: 216633220, test failed, incorrect number of cards in hand.
Seed: 1810096534, test failed, incorrect number of cards in hand.
Seed: 820487101, test failed, incorrect number of cards in hand.
Seed: 1936623399, test failed, incorrect number of cards in hand.
Seed: 668623971, test failed, incorrect number of cards in hand.
Seed: 683019762, test failed, incorrect number of cards in hand.
Seed: 931744899, test failed, incorrect number of cards in hand.
Seed: 2080268644, test failed, incorrect number of cards in hand.
Seed: 1906047692, test failed, incorrect number of cards in hand.
Seed: 1121103545, test failed, incorrect number of cards in hand.
Seed: 277941227, test failed, incorrect number of cards in hand.
Seed: 165009779, test failed, incorrect number of cards in hand.
Seed: 626092641, test failed, incorrect number of cards in hand.
Seed: 1320396158, test failed, incorrect number of cards in hand.
Seed: 57721644, test failed, incorrect number of cards in hand.
Seed: 960644765, test failed, incorrect number of cards in hand.
Seed: 1231999938, test failed, incorrect number of cards in hand.
Seed: 2144827325, test failed, incorrect number of cards in hand.
Seed: 1597164789, test failed, incorrect number of cards in hand.
Seed: 986384150, test failed, incorrect number of cards in hand.
Seed: 644830569, test failed, incorrect number of cards in hand.
Seed: 265393230, test failed, incorrect number of cards in hand.
Seed: 1789641936, test failed, incorrect number of cards in hand.
Seed: 1400816929, test failed, incorrect number of cards in hand.
Seed: 308430649, test failed, incorrect number of cards in hand.
Seed: 2002966904, test failed, incorrect number of cards in hand.
Seed: 2038072093, test failed, incorrect number of cards in hand.
Seed: 809780631, test failed, incorrect number of cards in hand.
Seed: 1836862244, test failed, incorrect number of cards in hand.
Seed: 11160225, test failed, incorrect number of cards in hand.
Seed: 148891875, test failed, incorrect number of cards in hand.
Seed: 1614199286, test failed, incorrect number of cards in hand.
Seed: 749196580, test failed, incorrect number of cards in hand.
Seed: 223431195, test failed, incorrect number of cards in hand.
Seed: 1896897922, test failed, incorrect number of cards in hand.
Seed: 1390634647, test failed, incorrect number of cards in hand.
Seed: 1424131195, test failed, incorrect number of cards in hand.
Seed: 1282049319, test failed, incorrect number of cards in hand.
Seed: 1617158967, test failed, incorrect number of cards in hand.
Seed: 1801197700, test failed, incorrect number of cards in hand.
Seed: 1017865057, test failed, incorrect number of cards in hand.
Seed: 1690268762, test failed, incorrect number of cards in hand.
Seed: 1759932029, test failed, incorrect number of cards in hand.
Seed: 1173523435, test failed, incorrect number of cards in hand.
Seed: 44274224, test failed, incorrect number of cards in hand.
Seed: 1735135215, test failed, incorrect number of cards in hand.
Seed: 926028732, test failed, incorrect number of cards in hand.
Seed: 760579613, test failed, incorrect number of cards in hand.
Seed: 1163051537, test failed, incorrect number of cards in hand.
Seed: 559846609, test failed, incorrect number of cards in hand.
Seed: 1389815551, test failed, incorrect number of cards in hand.
Seed: 269182819, test failed, incorrect number of cards in hand.
Seed: 644312642, test failed, incorrect number of cards in hand.
Seed: 1351095475, test failed, incorrect number of cards in hand.
Seed: 1821729116, test failed, incorrect number of cards in hand.
Seed: 2058374583, test failed, incorrect number of cards in hand.
Seed: 57862238, test failed, incorrect number of cards in hand.
Seed: 1163834624, test failed, incorrect number of cards in hand.
Seed: 1353550773, test failed, incorrect number of cards in hand.
Seed: 929250607, test failed, incorrect number of cards in hand.
Seed: 236474706, test failed, incorrect number of cards in hand.
Seed: 1757082859, test failed, incorrect number of cards in hand.
Seed: 446326304, test failed, incorrect number of cards in hand.
Seed: 1484227453, test failed, incorrect number of cards in hand.
Seed: 1433763806, test failed, incorrect number of cards in hand.
Seed: 2107035413, test failed, incorrect number of cards in hand.
Seed: 1840573202, test failed, incorrect number of cards in hand.
Seed: 872680521, test failed, incorrect number of cards in hand.
Seed: 72631435, test failed, incorrect number of cards in hand.
Seed: 1289446744, test failed, incorrect number of cards in hand.
Seed: 713018225, test failed, incorrect number of cards in hand.
Seed: 1336459216, test failed, incorrect number of cards in hand.
Seed: 696855499, test failed, incorrect number of cards in hand.
Seed: 1924917423, test failed, incorrect number of cards in hand.
Seed: 1660527830, test failed, incorrect number of cards in hand.
Seed: 112489045, test failed, incorrect number of cards in hand.
Seed: 367107955, test failed, incorrect number of cards in hand.
Seed: 563244068, test failed, incorrect number of cards in hand.
Seed: 1018124130, test failed, incorrect number of cards in hand.
Seed: 823912895, test failed, incorrect number of cards in hand.
Seed: 1413094870, test failed, incorrect number of cards in hand.
Seed: 411161741, test failed, incorrect number of cards in hand.
Seed: 1720000020, test failed, incorrect number of cards in hand.
Seed: 510695491, test failed, incorrect number of cards in hand.
Seed: 1547089145, test failed, incorrect number of cards in hand.
Seed: 745303673, test failed, incorrect number of cards in hand.
Seed: 1982231620, test failed, incorrect number of cards in hand.
Seed: 818928994, test failed, incorrect number of cards in hand.
Seed: 365883085, test failed, incorrect number of cards in hand.
Seed: 2004106698, test failed, incorrect number of cards in hand.
Seed: 692002641, test failed, incorrect number of cards in hand.
Seed: 1633088556, test failed, incorrect number of cards in hand.
Seed: 1723124407, test failed, incorrect number of cards in hand.
Seed: 1225816390, test failed, incorrect number of cards in hand.
Seed: 2022239065, test failed, incorrect number of cards in hand.
Seed: 397892512, test failed, incorrect number of cards in hand.
Seed: 433618928, test failed, incorrect number of cards in hand.
Seed: 545111442, test failed, incorrect number of cards in hand.
Seed: 726494934, test failed, incorrect number of cards in hand.
Seed: 1902362304, test failed, incorrect number of cards in hand.
Seed: 1345961320, test failed, incorrect number of cards in hand.
Seed: 1121851813, test failed, incorrect number of cards in hand.
Seed: 822157184, test failed, incorrect number of cards in hand.
Seed: 1171795005, test failed, incorrect number of cards in hand.
Seed: 1857753516, test failed, incorrect number of cards in hand.
Seed: 1462931707, test failed, incorrect number of cards in hand.
Seed: 390997582, test failed, incorrect number of cards in hand.
Seed: 1661776721, test failed, incorrect number of cards in hand.
